r1172496.fit is not a target (BIAS)
r1172497.fit is not a target (BIAS)
r1172498.fit is not a target (BIAS)
r1172499.fit is not a target (FLAT)
r1172500.fit is not a target (FLAT)
r1172501.fit is not a target (FLAT)
r1172502.fit is not a target (FLAT)
r1172503.fit is not a target (FLAT)
r1172504.fit is not a target (FLAT)
r1172505.fit is not a target (FLAT)
r1172506.fit is not a target (FLAT)
r1172507.fit is not a target (FLAT)
r1172508.fit is not a target (FLAT)
r1172509.fit is not a target (FLAT)
r1172510.fit is not a target (FLAT)
r1172511.fit is not a target (FLAT)
r1172512.fit is not a target (FLAT)
r1172513.fit is not a target (FLAT)
r1172514.fit is not a target (FLAT)
r1172515.fit is not a target (FLAT)
r1172516.fit is not a target (FLAT)
r1172517.fit is not a target (FLAT)
r1172518.fit is not a target (FLAT)
r1172519.fit is not a target (FLAT)
r1172520.fit is not a target (FLAT)
r1172521.fit is not a target (FLAT)
r1172522.fit is not a target (FLAT)
r1172523.fit is not a target (FLAT)
r1172524.fit is not a target (FLAT)
r1172525.fit is not a target (FLAT)
r1172526.fit is not a target (FLAT)
r1172527.fit is not a target (FLAT)
r1172528.fit is not a target (FLAT)
r1172529.fit is not a target (FOCUS)
r1172530.fit is not a target (FOCUS)
r1172531.fit  3.66  1.21 0.101   441.3 from 457 sources of 2008ON
r1172532.fit  3.95  1.30 0.125   407.6 from 322 sources of 2008ON
r1172533.fit  3.84  1.27 0.135   393.6 from 207 sources of 2008ON
r1172534.fit  3.29  1.09 0.100   369.9 from 530 sources of 2008ON
r1172535.fit  3.64  1.20 0.128   349.1 from 195 sources of 2008ON
r1172536.fit  3.37  1.11 0.128   388.1 from 216 sources of 2008ON
r1172537.fit  3.40  1.12 0.133   401.4 from 269 sources of 2008ON
r1172538.fit  3.41  1.13 0.135   382.7 from  90 sources of 2008ON
r1172539.fit  3.41  1.13 0.125   316.9 from 466 sources of 2008ON
r1172540.fit  3.65  1.20 0.110   391.5 from 471 sources of 2008ON
r1172541.fit  3.79  1.25 0.078   303.1 from 463 sources of 2008ON
r1172542.fit  3.71  1.22 0.107   383.3 from 464 sources of 2008ON
r1172543.fit  3.56  1.17 0.104   381.6 from 483 sources of 2008ON
r1172544.fit  4.09  1.35 0.125   381.0 from 384 sources of 2008ON
r1172545.fit  4.15  1.37 0.128   381.5 from 275 sources of 2008ON
r1172546.fit  4.63  1.53 0.050   424.3 from  81 sources of 2002GA
r1172547.fit  4.64  1.53 0.068   421.5 from  82 sources of 2002GA
r1172548.fit  4.74  1.56 0.076   419.5 from  72 sources of 2002GA
r1172549.fit  4.31  1.42 0.040   417.1 from  84 sources of 2002GA
r1172550.fit  4.43  1.46 0.061   415.8 from  83 sources of 2002GA
r1172551.fit  4.56  1.50 0.030   412.7 from  81 sources of 2002GA
r1172552.fit  4.55  1.50 0.033   411.0 from  81 sources of 2002GA
r1172553.fit  4.35  1.44 0.049   414.3 from  85 sources of 2002GA
r1172554.fit  4.51  1.49 0.094   413.3 from  82 sources of 2002GA
r1172555.fit  4.48  1.48 0.073   417.4 from  80 sources of 2002GA
r1172556.fit  4.24  1.40 0.050   178.0 from  82 sources of 2002GA
r1172557.fit  4.13  1.36 0.047   408.5 from  87 sources of 2002GA
r1172558.fit  4.24  1.40 0.059   408.3 from  88 sources of 2002GA
r1172559.fit  3.84  1.27 0.070   143.5 from  99 sources of 2002GA
r1172560.fit  5.06  1.67 0.105   404.4 from  72 sources of 2002GA
r1172604.fit  4.86  1.60 0.104   135.1 from 515 sources of uvex_3872o r
r1172605.fit  5.65  1.86 0.121    58.0 from 100 sources of uvex_3872o U
r1172606.fit  5.60  1.85 0.117    75.2 from 291 sources of uvex_3872o g
r1172607.fit  4.73  1.56 0.120   135.9 from 487 sources of uvex_3873 r
r1172608.fit  5.66  1.87 0.091    55.3 from 117 sources of uvex_3873 U
r1172609.fit  5.43  1.79 0.083    72.2 from 378 sources of uvex_3873 g
r1172610.fit  4.88  1.61 0.090   138.6 from 612 sources of uvex_3873o r
r1172611.fit  5.66  1.87 0.094    55.8 from 138 sources of uvex_3873o U
r1172612.fit  5.12  1.69 0.060    70.2 from 465 sources of uvex_3873o g
r1172613.fit  4.93  1.63 0.051   138.8 from 493 sources of uvex_3874 r
r1172614.fit  5.93  1.96 0.070    57.5 from  82 sources of uvex_3874 U
r1172615.fit  4.95  1.63 0.061    73.4 from 375 sources of uvex_3874 g
r1172616.fit  5.06  1.67 0.068   110.5 from 459 sources of uvex_3874o r
r1172617.fit  6.03  1.99 0.076    56.9 from  88 sources of uvex_3874o U
r1172618.fit  6.09  2.01 0.098    78.8 from 268 sources of uvex_3874o g
r1172619.fit  4.37  1.44 0.098   129.7 from 500 sources of uvex_3875 r
r1172620.fit  5.63  1.86 0.107    59.6 from  78 sources of uvex_3875 U
r1172621.fit  4.22  1.39 0.110    72.2 from 321 sources of uvex_3875 g
r1172622.fit  3.86  1.27 0.115   113.2 from 419 sources of uvex_3875o r
r1172623.fit  4.80  1.58 0.113    55.8 from  93 sources of uvex_3875o U
r1172624.fit  4.14  1.37 0.095    62.2 from 401 sources of uvex_3875o g
r1172625.fit  4.45  1.47 0.081   133.5 from 551 sources of uvex_3876 r
r1172626.fit  5.53  1.82 0.056    59.4 from  90 sources of uvex_3876 U
r1172627.fit  4.24  1.40 0.058    75.0 from 443 sources of uvex_3876 g
r1172628.fit  4.78  1.58 0.095   121.7 from 514 sources of uvex_3876o r
r1172629.fit  5.05  1.67 0.094    55.3 from 109 sources of uvex_3876o U
r1172630.fit  5.04  1.66 0.100    67.6 from 380 sources of uvex_3876o g
r1172631.fit  4.26  1.41 0.086   128.1 from 617 sources of uvex_3877 r
r1172632.fit  5.17  1.71 0.088    56.6 from 111 sources of uvex_3877 U
r1172633.fit  4.27  1.41 0.073    71.5 from 502 sources of uvex_3877 g
r1172634.fit  4.21  1.39 0.124   118.0 from 403 sources of uvex_3877o r
r1172635.fit  4.87  1.61 0.091    54.9 from 120 sources of uvex_3877o U
r1172636.fit  4.83  1.59 0.076    75.5 from 413 sources of uvex_3877o g
r1172637.fit  4.46  1.47 0.118   128.9 from 455 sources of uvex_3880 r
r1172638.fit  5.27  1.74 0.060    45.6 from 119 sources of uvex_3880 U
r1172639.fit  4.37  1.44 0.100    66.0 from 405 sources of uvex_3880 g
r1172640.fit  4.19  1.38 0.088   132.0 from 643 sources of uvex_3880o r
r1172641.fit  5.76  1.90 0.098    53.6 from  99 sources of uvex_3880o U
r1172642.fit  5.08  1.68 0.068    70.6 from 345 sources of uvex_3880o g
r1172643.fit  3.99  1.32 0.102   104.7 from 708 sources of uvex_3881 r
r1172644.fit  5.19  1.71 0.132    46.5 from 111 sources of uvex_3881 U
r1172645.fit  4.81  1.59 0.126    74.3 from 354 sources of uvex_3881 g
r1172646.fit  4.18  1.38 0.063   104.2 from 641 sources of uvex_3881o r
r1172647.fit  5.10  1.68 0.132    52.4 from  98 sources of uvex_3881o U
r1172648.fit  4.36  1.44 0.077    61.4 from 448 sources of uvex_3881o g
r1172649.fit  4.22  1.39 0.111   114.4 from 638 sources of uvex_3882 r
r1172650.fit  4.83  1.59 0.074    42.7 from 183 sources of uvex_3882 U
r1172651.fit  3.95  1.30 0.090    60.1 from 482 sources of uvex_3882 g
r1172652.fit  3.93  1.30 0.113   125.8 from 624 sources of uvex_3882o r
r1172653.fit  4.61  1.52 0.104    46.2 from 177 sources of uvex_3882o U
r1172654.fit  4.75  1.57 0.124    72.0 from 447 sources of uvex_3882o g
r1172655.fit  4.02  1.33 0.057   128.6 from 790 sources of uvex_3883 r
r1172656.fit  4.55  1.50 0.093    43.7 from 175 sources of uvex_3883 U
r1172657.fit  3.76  1.24 0.063    68.5 from 592 sources of uvex_3883 g
r1172658.fit  3.78  1.25 0.122   122.0 from 676 sources of uvex_3883o r
r1172659.fit  4.47  1.48 0.086    45.1 from 189 sources of uvex_3883o U
r1172660.fit  4.34  1.43 0.077    66.7 from 512 sources of uvex_3883o g
r1172661.fit  3.82  1.26 0.074   111.0 from 784 sources of uvex_3884 r
r1172662.fit  4.85  1.60 0.075    39.8 from 192 sources of uvex_3884 U
r1172663.fit  3.85  1.27 0.084    56.8 from 567 sources of uvex_3884 g
r1172664.fit  4.03  1.33 0.121   111.1 from 611 sources of uvex_3884o r
r1172665.fit  4.63  1.53 0.074    43.1 from 187 sources of uvex_3884o U
r1172666.fit  4.46  1.47 0.041    59.7 from 490 sources of uvex_3884o g
r1172667.fit  3.92  1.29 0.042   128.5 from 687 sources of uvex_3885 r
r1172668.fit  4.41  1.46 0.054    47.4 from 157 sources of uvex_3885 U
r1172669.fit  4.08  1.35 0.078    69.8 from 481 sources of uvex_3885 g
r1172670.fit  3.39  1.12 0.066   109.5 from 848 sources of uvex_3885o r
r1172671.fit  4.28  1.41 0.062    49.9 from 164 sources of uvex_3885o U
r1172672.fit  3.96  1.31 0.057    59.0 from 499 sources of uvex_3885o g
r1172673.fit  3.63  1.20 0.081   106.0 from 787 sources of uvex_3886 r
r1172674.fit  4.21  1.39 0.078    48.2 from 121 sources of uvex_3886 U
r1172675.fit  3.75  1.24 0.068    57.2 from 526 sources of uvex_3886 g
r1172676.fit  3.91  1.29 0.104   108.2 from 650 sources of uvex_3886o r
r1172677.fit  4.89  1.61 0.115    50.6 from  94 sources of uvex_3886o U
r1172678.fit  3.85  1.27 0.078    58.3 from 561 sources of uvex_3886o g
r1172679.fit  3.26  1.08 0.065   116.6 from 855 sources of uvex_3887 r
r1172680.fit  4.28  1.41 0.107    53.6 from 143 sources of uvex_3887 U
r1172681.fit  3.39  1.12 0.082    61.9 from 574 sources of uvex_3887 g
r1172682.fit  3.71  1.22 0.103   107.0 from 632 sources of uvex_3887o r
r1172683.fit  4.22  1.39 0.093    49.2 from 151 sources of uvex_3887o U
r1172684.fit  3.85  1.27 0.049    60.5 from 559 sources of uvex_3887o g
r1172685.fit  3.48  1.15 0.102   102.5 from 624 sources of uvex_3888 r
r1172686.fit  4.33  1.43 0.077    52.1 from 161 sources of uvex_3888 U
r1172687.fit  3.63  1.20 0.070    69.1 from 545 sources of uvex_3888 g
r1172688.fit  3.58  1.18 0.108   103.4 from 547 sources of uvex_3888o r
r1172689.fit  4.21  1.39 0.095    52.7 from 152 sources of uvex_3888o U
r1172690.fit  3.54  1.17 0.068    59.5 from 607 sources of uvex_3888o g
r1172691.fit  3.82  1.26 0.105   113.3 from 764 sources of uvex_3891 r
r1172692.fit  4.37  1.44 0.053    44.0 from 183 sources of uvex_3891 U
r1172693.fit  3.72  1.23 0.078    60.4 from 557 sources of uvex_3891 g
r1172694.fit  3.42  1.13 0.074   113.3 from 845 sources of uvex_3891o r
r1172695.fit  4.14  1.37 0.090    46.6 from 163 sources of uvex_3891o U
r1172696.fit  3.79  1.25 0.102    66.5 from 528 sources of uvex_3891o g
r1172697.fit  3.51  1.16 0.099    94.7 from 765 sources of uvex_3892 r
r1172698.fit  4.05  1.34 0.060    53.1 from 190 sources of uvex_3892 U
r1172699.fit  3.57  1.18 0.052    73.3 from 649 sources of uvex_3892 g
r1172700.fit  3.43  1.13 0.104   119.1 from 893 sources of uvex_3892o r
r1172701.fit  4.32  1.43 0.083    52.7 from 172 sources of uvex_3892o U
r1172702.fit  3.57  1.18 0.067    68.2 from 635 sources of uvex_3892o g
r1172703.fit  3.14  1.04 0.060    37.7 from 357 sources of SA98-650 r
r1172704.fit  4.14  1.37 0.097    32.8 from 135 sources of SA98-650 U
r1172705.fit  3.65  1.20 0.057    27.8 from 219 sources of SA98-650 g
r1172706.fit  4.07  1.34 0.091    31.9 from 192 sources of SA98-650 Ha
r1172707.fit  3.50  1.16 0.043    54.0 from 412 sources of SA98-650 r
r1172708.fit  3.35  1.11 0.079    41.3 from 286 sources of SA98-650 i
r1172709.fit  4.14  1.37 0.040    90.4 from 145 sources of intphas_3171 Ha
r1172710.fit  4.02  1.33 0.060   146.2 from 361 sources of intphas_3171 r
r1172711.fit  4.05  1.34 0.067   140.1 from 279 sources of intphas_3171 i
r1172712.fit  4.17  1.38 0.063    92.0 from 138 sources of intphas_3171o Ha
r1172713.fit  3.68  1.21 0.039   173.7 from 384 sources of intphas_3171o r
r1172714.fit  3.83  1.26 0.066   153.0 from 304 sources of intphas_3171o i
r1172715.fit  4.94  1.63 0.061   100.4 from 151 sources of intphas_3172 Ha
r1172716.fit  4.65  1.53 0.050   179.0 from 336 sources of intphas_3172 r
r1172717.fit  4.00  1.32 0.038   161.6 from 329 sources of intphas_3172 i
r1172718.fit  3.92  1.29 0.074    92.7 from 160 sources of intphas_3173 Ha
r1172719.fit  3.66  1.21 0.064   168.7 from 335 sources of intphas_3173 r
r1172720.fit  3.49  1.15 0.063   142.2 from 325 sources of intphas_3173 i
r1172721.fit  3.85  1.27 0.075    92.3 from 241 sources of intphas_3174 Ha
r1172722.fit  3.46  1.14 0.078   172.1 from 611 sources of intphas_3174 r
r1172723.fit  3.49  1.15 0.053   131.8 from 474 sources of intphas_3174 i
r1172724.fit  3.64  1.20 0.047    98.2 from 307 sources of intphas_3189o Ha
r1172725.fit  3.52  1.16 0.059   180.5 from 813 sources of intphas_3189o r
r1172726.fit  3.28  1.08 0.067   151.0 from 619 sources of intphas_3189o i
r1172727.fit  4.03  1.33 0.101    90.6 from 290 sources of intphas_3337 Ha
r1172728.fit  3.39  1.12 0.074   177.1 from 894 sources of intphas_3337 r
r1172729.fit  3.13  1.03 0.058   134.5 from 710 sources of intphas_3337 i
r1172730.fit  3.61  1.19 0.075    94.1 from 331 sources of intphas_3337o Ha
r1172731.fit  3.62  1.19 0.059   166.3 from 841 sources of intphas_3337o r
r1172732.fit  3.00  0.99 0.071   143.4 from 733 sources of intphas_3337o i
r1172733.fit  3.81  1.26 0.066    92.9 from 238 sources of intphas_3338 Ha
r1172734.fit  3.34  1.10 0.048   178.0 from 697 sources of intphas_3338 r
r1172735.fit  3.47  1.15 0.034   148.6 from 499 sources of intphas_3338 i
r1172736.fit  4.16  1.37 0.110    87.6 from 237 sources of intphas_3338o Ha
r1172737.fit  3.75  1.24 0.033   179.1 from 649 sources of intphas_3338o r
r1172738.fit  3.15  1.04 0.051   150.0 from 585 sources of intphas_3338o i
r1172739.fit  3.51  1.16 0.057    93.2 from 296 sources of intphas_3339 Ha
r1172740.fit  4.17  1.38 0.116   186.3 from 607 sources of intphas_3339 r
r1172741.fit  3.67  1.21 0.060   143.9 from 505 sources of intphas_3339 i
r1172742.fit  5.31  1.75 0.125    93.6 from 169 sources of intphas_3339o Ha
r1172743.fit  4.40  1.45 0.029   163.3 from 578 sources of intphas_3339o r
r1172744.fit  3.38  1.12 0.039   139.8 from 594 sources of intphas_3339o i
r1172745.fit  5.36  1.77 0.101    99.5 from 133 sources of intphas_3343 Ha
r1172746.fit  4.21  1.39 0.099   187.2 from 463 sources of intphas_3343 r
r1172747.fit  4.83  1.59 0.048   159.1 from 278 sources of intphas_3343 i
r1172748.fit  5.32  1.76 0.125   101.9 from 120 sources of intphas_3343o Ha
r1172749.fit  3.52  1.16 0.052   170.4 from 574 sources of intphas_3343o r
r1172750.fit  3.14  1.04 0.066   159.5 from 539 sources of intphas_3343o i
r1172751.fit  3.67  1.21 0.045    96.4 from 250 sources of intphas_3345 Ha
r1172752.fit  4.79  1.58 0.101   187.9 from 413 sources of intphas_3345 r
r1172753.fit  3.43  1.13 0.087   148.1 from 498 sources of intphas_3345 i
r1172754.fit  4.32  1.43 0.109    98.1 from 204 sources of intphas_3345o Ha
r1172755.fit  3.23  1.07 0.039   195.3 from 753 sources of intphas_3345o r
r1172756.fit  3.03  1.00 0.049   156.7 from 636 sources of intphas_3345o i
r1172757.fit  3.95  1.30 0.075    98.8 from 261 sources of intphas_3347 Ha
r1172758.fit  3.50  1.16 0.071   183.2 from 662 sources of intphas_3347 r
r1172759.fit  3.50  1.16 0.093   157.2 from 509 sources of intphas_3347 i
r1172760.fit  3.57  1.18 0.058    91.9 from 336 sources of intphas_3348 Ha
r1172761.fit  3.63  1.20 0.053   199.6 from 777 sources of intphas_3348 r
r1172762.fit  3.38  1.12 0.061   161.5 from 615 sources of intphas_3348 i
r1172763.fit  4.49  1.48 0.054    99.8 from 249 sources of intphas_3348o Ha
r1172764.fit  4.48  1.48 0.031   198.2 from 555 sources of intphas_3348o r
r1172765.fit  5.56  1.83 0.070   160.6 from 328 sources of intphas_3348o i
r1172766.fit  4.47  1.48 0.025   100.1 from 240 sources of intphas_3350 Ha
r1172767.fit  4.60  1.52 0.055   204.1 from 660 sources of intphas_3350 r
r1172768.fit  4.26  1.41 0.048   150.1 from 505 sources of intphas_3350 i
r1172769.fit  4.83  1.59 0.049   100.8 from 202 sources of intphas_3350o Ha
r1172770.fit  4.20  1.39 0.092   206.1 from 698 sources of intphas_3350o r
r1172771.fit  3.50  1.16 0.048   178.7 from 604 sources of intphas_3350o i
r1172772.fit  4.10  1.35 0.060   103.6 from 221 sources of intphas_3368o Ha
r1172773.fit  4.89  1.61 0.100   198.6 from 396 sources of intphas_3368o r
r1172774.fit  3.53  1.16 0.045   143.7 from 500 sources of intphas_3368o i
r1172775.fit  4.46  1.47 0.118   103.5 from 211 sources of intphas_3389 Ha
r1172776.fit  4.33  1.43 0.084   206.0 from 593 sources of intphas_3389 r
r1172777.fit  3.90  1.29 0.051   171.4 from 474 sources of intphas_3389 i
r1172778.fit  4.23  1.40 0.054   100.7 from 201 sources of intphas_3401o Ha
r1172779.fit  4.22  1.39 0.043   198.2 from 547 sources of intphas_3401o r
r1172780.fit  4.01  1.32 0.035   137.1 from 398 sources of intphas_3401o i
r1172781.fit  4.84  1.60 0.051   102.5 from 178 sources of intphas_3403 Ha
r1172782.fit  4.48  1.48 0.051   199.2 from 460 sources of intphas_3403 r
r1172783.fit  4.31  1.42 0.051   141.5 from 374 sources of intphas_3403 i
r1172784.fit  4.32  1.43 0.034   107.3 from 191 sources of intphas_3403o Ha
r1172785.fit  4.28  1.41 0.041   209.6 from 493 sources of intphas_3403o r
r1172786.fit  3.83  1.26 0.036   193.0 from 422 sources of intphas_3403o i
r1172787.fit  4.50  1.49 0.047   104.5 from 116 sources of intphas_3421 Ha
r1172788.fit  3.99  1.32 0.041   216.6 from 315 sources of intphas_3421 r
r1172789.fit  3.62  1.19 0.044   160.4 from 296 sources of intphas_3421 i
r1172790.fit  4.18  1.38 0.045   104.2 from 150 sources of intphas_3421o Ha
r1172791.fit  4.22  1.39 0.079   218.6 from 338 sources of intphas_3421o r
r1172792.fit  3.43  1.13 0.042   201.5 from 338 sources of intphas_3421o i
r1172793.fit  4.70  1.55 0.092   106.0 from 204 sources of intphas_3425 Ha
r1172794.fit  3.52  1.16 0.041   190.0 from 721 sources of intphas_3425 r
r1172795.fit  3.28  1.08 0.052   170.1 from 554 sources of intphas_3425 i
r1172796.fit  4.44  1.47 0.098   106.1 from 223 sources of intphas_3425o Ha
r1172797.fit  4.01  1.32 0.044   220.4 from 579 sources of intphas_3425o r
r1172798.fit  3.31  1.09 0.053   206.8 from 537 sources of intphas_3425o i
r1172799.fit  4.67  1.54 0.130   107.1 from 143 sources of intphas_3431 Ha
r1172800.fit  3.74  1.23 0.048   223.5 from 729 sources of intphas_3431 r
r1172801.fit  3.54  1.17 0.059   202.7 from 556 sources of intphas_3431 i
r1172802.fit  3.86  1.27 0.047   108.2 from 286 sources of intphas_3431o Ha
r1172803.fit  3.50  1.16 0.064   225.4 from 839 sources of intphas_3431o r
r1172804.fit  3.27  1.08 0.065   181.1 from 622 sources of intphas_3431o i
r1172805.fit  4.35  1.44 0.114   109.0 from 230 sources of intphas_3454 Ha
r1172806.fit  3.26  1.08 0.036   194.0 from 743 sources of intphas_3454 r
r1172807.fit  2.68  0.88 0.038   179.4 from 706 sources of intphas_3454 i
r1172808.fit  4.06  1.34 0.074    96.4 from 251 sources of intphas_3454o Ha
r1172809.fit  3.22  1.06 0.040   206.4 from 788 sources of intphas_3454o r
r1172810.fit  3.57  1.18 0.057   179.8 from 516 sources of intphas_3454o i
r1172811.fit  4.42  1.46 0.097    97.0 from 242 sources of intphas_3469 Ha
r1172812.fit  3.96  1.31 0.045   213.8 from 649 sources of intphas_3469 r
r1172813.fit  3.93  1.30 0.049   171.6 from 449 sources of intphas_3469 i
r1172814.fit  4.60  1.52 0.118   110.3 from 236 sources of intphas_3469o Ha
r1172815.fit  3.55  1.17 0.034   225.0 from 796 sources of intphas_3469o r
r1172816.fit  3.49  1.15 0.051   195.3 from 578 sources of intphas_3469o i
r1172817.fit  4.32  1.43 0.069   112.0 from 215 sources of intphas_3470 Ha
r1172818.fit  4.18  1.38 0.062   235.4 from 545 sources of intphas_3470 r
r1172819.fit  3.73  1.23 0.067   192.8 from 466 sources of intphas_3470 i
r1172820.fit  4.89  1.61 0.105   116.8 from 153 sources of intphas_3470o Ha
r1172821.fit  4.06  1.34 0.051   240.1 from 547 sources of intphas_3470o r
